sentid	sentpos	word	num_responses	responses_exist
0	1	Anne	0.0	True
0	2	lost	78.0	True
0	3	control	76.0	True
0	4	and	80.0	True
0	5	laughed.	80.0	True
1	1	Billy	0.0	True
1	2	wrote	79.0	True
1	3	on	78.0	True
1	4	the	78.0	True
1	5	envelope.	79.0	True
2	1	He	0.0	True
2	2	called	79.0	True
2	3	over	80.0	True
2	4	his	76.0	True
2	5	shoulder.	76.0	True
3	1	He	0.0	True
3	2	stayed	78.0	True
3	3	against	80.0	True
3	4	the	79.0	True
3	5	wall.	80.0	True
4	1	Helen	0.0	True
4	2	ran	80.0	True
4	3	to	76.0	True
4	4	the	78.0	True
4	5	toilet.	78.0	True
5	1	I	0.0	True
5	2	cannot	78.0	True
5	3	tell	80.0	True
5	4	you	79.0	True
5	5	more.	80.0	True
6	1	Michael	0.0	True
6	2	gave	76.0	True
6	3	Adam	79.0	True
6	4	two	80.0	True
6	5	pounds.	78.0	True
7	1	Roger	0.0	True
7	2	smiled	80.0	True
7	3	and	76.0	True
7	4	sat	76.0	True
7	5	down.	78.0	True
8	1	Things	0.0	True
8	2	were	76.0	True
8	3	looking	80.0	True
8	4	up	78.0	True
8	5	again.	80.0	True
9	1	This	0.0	True
9	2	man's	79.0	True
9	3	hair	78.0	True
9	4	is	80.0	True
9	5	black.	79.0	True
10	1	Turn	0.0	True
10	2	your	80.0	True
10	3	hearing	80.0	True
10	4	aid	80.0	True
10	5	up.	80.0	True
11	1	You'll	0.0	True
11	2	demand	79.0	True
11	3	nothing	78.0	True
11	4	of	76.0	True
11	5	me.	79.0	True
12	1	A	0.0	True
12	2	horse	76.0	True
12	3	has	78.0	True
12	4	thrown	80.0	True
12	5	a	78.0	True
12	6	shoe.	79.0	True
13	1	A	0.0	True
13	2	tube	80.0	True
13	3	train	76.0	True
13	4	took	78.0	True
13	5	his	80.0	True
13	6	legs.	76.0	True
14	1	Five	0.0	True
14	2	will	78.0	True
14	3	be	78.0	True
14	4	listening	80.0	True
14	5	for	76.0	True
14	6	sure.	78.0	True
15	1	Gordon	0.0	True
15	2	felt	80.0	True
15	3	his	78.0	True
15	4	anger	78.0	True
15	5	build	78.0	True
15	6	up.	80.0	True
16	1	Harry	0.0	True
16	2	smiled	76.0	True
16	3	at	79.0	True
16	4	his	76.0	True
16	5	little	79.0	True
16	6	brother.	79.0	True
17	1	He	0.0	True
17	2	needed	76.0	True
17	3	putting	80.0	True
17	4	in	80.0	True
17	5	his	80.0	True
17	6	place.	78.0	True
18	1	He	0.0	True
18	2	shouted	80.0	True
18	3	and	79.0	True
18	4	the	79.0	True
18	5	calling	80.0	True
18	6	ceased.	79.0	True
19	1	He	0.0	True
19	2	uses	80.0	True
19	3	his	80.0	True
19	4	belt	78.0	True
19	5	on	80.0	True
19	6	you.	80.0	True
20	1	He's	0.0	True
20	2	broken	80.0	True
20	3	his	79.0	True
20	4	wrists	80.0	True
20	5	very	79.0	True
20	6	badly.	80.0	True
21	1	I	0.0	True
21	2	am	76.0	True
21	3	touched	76.0	True
21	4	deeply	76.0	True
21	5	in	79.0	True
21	6	places.	80.0	True
22	1	I	0.0	True
22	2	don't	78.0	True
22	3	want	80.0	True
22	4	to	76.0	True
22	5	hear	78.0	True
22	6	it.	80.0	True
23	1	I	0.0	True
23	2	knew	78.0	True
23	3	I	78.0	True
23	4	heard	80.0	True
23	5	your	78.0	True
23	6	voice.	78.0	True
24	1	I	0.0	True
24	2	wouldn't	80.0	True
24	3	want	80.0	True
24	4	to	80.0	True
24	5	miss	79.0	True
24	6	this.	79.0	True
25	1	Jack	0.0	True
25	2	walked	79.0	True
25	3	up	80.0	True
25	4	to	80.0	True
25	5	the	76.0	True
25	6	door.	76.0	True
26	1	Ross	0.0	True
26	2	sat	76.0	True
26	3	back	78.0	True
26	4	down	80.0	True
26	5	and	79.0	True
26	6	shivered.	80.0	True
27	1	She	0.0	True
27	2	couldn't	80.0	True
27	3	help	80.0	True
27	4	feel	79.0	True
27	5	for	80.0	True
27	6	Alex.	79.0	True
28	1	The	0.0	True
28	2	bored	78.0	True
28	3	looking	78.0	True
28	4	soldier	80.0	True
28	5	just	76.0	True
28	6	pointed.	76.0	True
29	1	The	0.0	True
29	2	campaign	79.0	True
29	3	will	80.0	True
29	4	pay	80.0	True
29	5	for	78.0	True
29	6	itself.	80.0	True
30	1	They're	0.0	True
30	2	riding	79.0	True
30	3	out	78.0	True
30	4	to	79.0	True
30	5	meet	79.0	True
30	6	them.	76.0	True
31	1	We	0.0	True
31	2	barely	78.0	True
31	3	escaped	78.0	True
31	4	with	78.0	True
31	5	our	79.0	True
31	6	lives.	78.0	True
32	1	We've	0.0	True
32	2	been	79.0	True
32	3	travelling	80.0	True
32	4	almost	76.0	True
32	5	three	80.0	True
32	6	days.	76.0	True
33	1	Alice	0.0	True
33	2	is	76.0	True
33	3	looking	80.0	True
33	4	for	79.0	True
33	5	somewhere	78.0	True
33	6	to	80.0	True
33	7	live.	79.0	True
34	1	Alan	0.0	True
34	2	forgot	78.0	True
34	3	to	79.0	True
34	4	shave	80.0	True
34	5	again	80.0	True
34	6	this	78.0	True
34	7	morning.	78.0	True
35	1	Have	0.0	True
35	2	a	80.0	True
35	3	carriage	80.0	True
35	4	sent	80.0	True
35	5	for	79.0	True
35	6	us	79.0	True
35	7	immediately.	79.0	True
36	1	He	0.0	True
36	2	probably	80.0	True
36	3	doesn't	78.0	True
36	4	want	80.0	True
36	5	people	76.0	True
36	6	to	76.0	True
36	7	know.	80.0	True
37	1	He	0.0	True
37	2	put	78.0	True
37	3	the	80.0	True
37	4	fork	79.0	True
37	5	on	80.0	True
37	6	the	79.0	True
37	7	table.	80.0	True
38	1	I'll	0.0	True
38	2	give	78.0	True
38	3	him	80.0	True
38	4	more	78.0	True
38	5	than	80.0	True
38	6	a	78.0	True
38	7	slap.	80.0	True
39	1	Andrew	0.0	True
39	2	nodded	80.0	True
39	3	and	79.0	True
39	4	stood	80.0	True
39	5	against	80.0	True
39	6	the	76.0	True
39	7	counter.	76.0	True
40	1	Looks	0.0	True
40	2	like	79.0	True
40	3	a	79.0	True
40	4	walk	80.0	True
40	5	did	80.0	True
40	6	the	80.0	True
40	7	trick.	78.0	True
41	1	Sam	0.0	True
41	2	felt	78.0	True
41	3	proud	80.0	True
41	4	when	76.0	True
41	5	he	80.0	True
41	6	went	80.0	True
41	7	home.	80.0	True
42	1	Scott	0.0	True
42	2	got	80.0	True
42	3	up	78.0	True
42	4	and	76.0	True
42	5	washed	80.0	True
42	6	his	79.0	True
42	7	plate.	78.0	True
43	1	Simon	0.0	True
43	2	nodded	76.0	True
43	3	and	80.0	True
43	4	walked	78.0	True
43	5	into	79.0	True
43	6	the	79.0	True
43	7	room.	80.0	True
44	1	Steve	0.0	True
44	2	sat	80.0	True
44	3	down	80.0	True
44	4	to	78.0	True
44	5	eat	79.0	True
44	6	his	80.0	True
44	7	lunch.	76.0	True
45	1	Ted	0.0	True
45	2	smiled	76.0	True
45	3	and	78.0	True
45	4	bit	76.0	True
45	5	his	79.0	True
45	6	bottom	76.0	True
45	7	lip.	80.0	True
46	1	Thomas	0.0	True
46	2	stepped	78.0	True
46	3	back	80.0	True
46	4	and	78.0	True
46	5	shook	79.0	True
46	6	his	80.0	True
46	7	head.	80.0	True
47	1	Tom	0.0	True
47	2	stood	80.0	True
47	3	up	79.0	True
47	4	and	80.0	True
47	5	wiped	76.0	True
47	6	his	79.0	True
47	7	jeans.	80.0	True
48	1	Tony	0.0	True
48	2	stopped	78.0	True
48	3	off	78.0	True
48	4	at	76.0	True
48	5	his	79.0	True
48	6	first	80.0	True
48	7	delivery.	80.0	True
49	1	Normally	0.0	True
49	2	they	78.0	True
49	3	want	78.0	True
49	4	to	80.0	True
49	5	cut	76.0	True
49	6	things	79.0	True
49	7	up.	80.0	True
50	1	Powerful	0.0	True
50	2	in	80.0	True
50	3	the	78.0	True
50	4	wrong	79.0	True
50	5	hands,	80.0	True
50	6	is	78.0	True
50	7	that.	80.0	True
51	1	She	0.0	True
51	2	had	78.0	True
51	3	refused	76.0	True
51	4	to	80.0	True
51	5	leave	78.0	True
51	6	her	80.0	True
51	7	home.	79.0	True
52	1	She	0.0	True
52	2	hid	78.0	True
52	3	the	79.0	True
52	4	boxes	80.0	True
52	5	and	76.0	True
52	6	matches	80.0	True
52	7	well.	79.0	True
53	1	The	0.0	True
53	2	bored	80.0	True
53	3	looking	79.0	True
53	4	soldier	80.0	True
